#This is a simple dump of all molten liquids, in raw form, with their block names (in brackets) and their localized names, in the format of:

#FLUIDID 										  (FLUIDBLOCK)																	   = FLUIDLOCALIZEDNAME

#ANY AND ALL CHANGES TO THIS FILE WILL BE REPLACED WHEN THIS FILE IS REGENERATED NEXT TIME THE GAME IS RUN. THIS IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT A CONFIG FILE!

electrical_steel                                  (enderio:block_fluid_electrical_steel)                                           = Molten Electrical Steel
tiberium_fluid                                    (taiga:molten_tiberium_fluid)                                                    = Tiberium Fluid
aurorium_fluid                                    (taiga:molten_aurorium_fluid)                                                    = Aurorium Fluid
prometheum_fluid                                  (taiga:molten_prometheum_fluid)                                                  = Prometheum Fluid
duranite_fluid                                    (taiga:molten_duranite_fluid)                                                    = Duranite Fluid
valyrium_fluid                                    (taiga:molten_valyrium_fluid)                                                    = Valyrium Fluid
vibranium_fluid                                   (taiga:molten_vibranium_fluid)                                                   = Vibranium Fluid
terrax_fluid                                      (taiga:molten_terrax_fluid)                                                      = Terrax Fluid
palladium_fluid                                   (taiga:molten_palladium_fluid)                                                   = Palladium Fluid
uru_fluid                                         (taiga:molten_uru_fluid)                                                         = Uru Fluid
eezo_fluid                                        (taiga:molten_eezo_fluid)                                                        = Eezo Fluid
basalt_fluid                                      (taiga:molten_basalt_fluid)                                                      = Basalt Fluid
triberium_fluid                                   (taiga:molten_triberium_fluid)                                                   = Triberium Fluid
fractum_fluid                                     (taiga:molten_fractum_fluid)                                                     = Fractum Fluid
violium_fluid                                     (taiga:molten_violium_fluid)                                                     = Violium Fluid
proxii_fluid                                      (taiga:molten_proxii_fluid)                                                      = Proxii Fluid
tritonite_fluid                                   (taiga:molten_tritonite_fluid)                                                   = Tritonite Fluid
ignitz_fluid                                      (taiga:molten_ignitz_fluid)                                                      = Ignitz Fluid
imperomite_fluid                                  (taiga:molten_imperomite_fluid)                                                  = Imperomite Fluid
solarium_fluid                                    (taiga:molten_solarium_fluid)                                                    = Solarium Fluid
nihilite_fluid                                    (taiga:molten_nihilite_fluid)                                                    = Nihilite Fluid
adamant_fluid                                     (taiga:molten_adamant_fluid)                                                     = Adamant Fluid
dyonite_fluid                                     (taiga:molten_dyonite_fluid)                                                     = Dyonite Fluid
nucleum_fluid                                     (taiga:molten_nucleum_fluid)                                                     = Nucleum Fluid
lumix_fluid                                       (taiga:molten_lumix_fluid)                                                       = Lumix Fluid
seismum_fluid                                     (taiga:molten_seismum_fluid)                                                     = Seismum Fluid
astrium_fluid                                     (taiga:molten_astrium_fluid)                                                     = Astrium Fluid
niob_fluid                                        (taiga:molten_niob_fluid)                                                        = Niob Fluid
yrdeen_fluid                                      (taiga:molten_yrdeen_fluid)                                                      = Yrdeen Fluid
meteorite_fluid                                   (taiga:molten_meteorite_fluid)                                                   = Meteorite Fluid
obsidiorite_fluid                                 (taiga:molten_obsidiorite_fluid)                                                 = Obsidiorite Fluid
invar                                             (tconstruct:molten_invar)                                                        = Molten Invar
iridium                                           (tconstruct:molten_iridium)                                                      = Molten Iridium
osmium                                            (plustic:plustic.molten_osmium)                                                  = Molten Osmium
refinedobsidian                                   (plustic:plustic.molten_refinedobsidian)                                         = Molten Refined Obsidian
refinedglowstone                                  (plustic:plustic.molten_refinedglowstone)                                        = Refined Glowstone
osgloglas                                         (plustic:plustic.molten_osgloglas)                                               = Molten Osgloglas
osmiridium                                        (plustic:plustic.molten_osmiridium)                                              = Molten Osmiridium
lumium                                            (tconstruct:molten_lumium)                                                       = Molten Lumium
signalum                                          (tconstruct:molten_signalum)                                                     = Molten Signalum
platinum                                          (tconstruct:molten_platinum)                                                     = Molten Platinum
enderium                                          (tconstruct:molten_enderium)                                                     = Molten Enderium
infinity                                          (plustic:plustic.molten_infinity)                                                = Molten Infinity
thaumium                                          (plustic:plustic.molten_thaumium)                                                = Molten Thaumium
starmetal                                         (plustic:plustic.molten_starmetal)                                               = Molten Starmetal
mirion                                            (plustic:plustic.molten_mirion)                                                  = Molten Mirion
manasteel                                         (plustic:plustic.molten_manasteel)                                               = Molten Manasteel
elementium                                        (plustic:plustic.molten_elementium)                                              = Molten Elementium
terrasteel                                        (plustic:plustic.molten_terrasteel)                                              = Molten Terrasteel
emerald                                           (tconstruct:molten_emerald)                                                      = Molten Emerald
